Job,Department,Organization Group,Overtime,Total Salary,Total Benefits,Total Compensation
Junior Clerk,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,26708.17,8489.29,35197.46
Firefighter,Fire Department,Public Protection,42520.17,207527.82,34613.81,242141.63
"Lieutenant, Fire Suppression",Fire Department,Public Protection,0.0,155627.41,21152.68,176780.09
"Lieutenant, Fire Suppression",Fire Department,Public Protection,0.0,112658.45,11570.73,124229.18
Firefighter,Fire Department,Public Protection,20117.54,166255.64,31143.59,197399.23
Firefighter,Fire Department,Public Protection,66782.97,213260.0,32079.03,245339.03
EMT/Paramedic/Firefighter,Fire Department,Public Protection,0.0,23531.46,5121.67,28653.13
EMT Paramedic,Fire Department,Public Protection,143.9,11223.25,2405.39,13628.64
Firefighter,Fire Department,Public Protection,47157.08,154559.24,23559.53,178118.77
Firefighter,Fire Department,Public Protection,29632.77,129996.76,21379.61,151376.37
Clerk Typist,Human Services,Human Welfare & Neighborhood Development,0.0,77541.04,22002.95,99543.99
Protective Services Supervisor,Human Services,Human Welfare & Neighborhood Development,0.0,137274.66,38074.77,175349.43
Eligibility Worker Supervisor,Human Services,Human Welfare & Neighborhood Development,1536.39,109553.74,30300.39,139854.13
Administrative Analyst,Human Services,Human Welfare & Neighborhood Development,0.0,109116.4,30905.67,140022.07
Pr Administrative Analyst,Human Services,Human Welfare & Neighborhood Development,0.0,147218.41,40836.32,188054.73
Soft Floor Coverer,Department Of Public Works,"Public Works, Transportation & Commerce",34.71,108854.52,30501.11,139355.63
Soft Floor Coverer,Department Of Public Works,"Public Works, Transportation & Commerce",1238.75,109871.0,30367.88,140238.88
Arch/Landscp Architectrl Ast1,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,81685.5,23027.66,104713.16
Junior Engineer,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,109453.14,30871.77,140324.91
Administrative Analyst,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,109116.65,30551.74,139668.39
Museum Guard,Fine Arts Museum,Culture & Recreation,19822.98,98347.39,23738.23,122085.62
Security Guard,Fine Arts Museum,Culture & Recreation,7574.75,65267.58,16961.36,82228.94
"Lieutenant, Fire Suppression",Fire Department,Public Protection,2847.27,85368.44,3620.37,88988.81
"Lieutenant, Fire Suppression",Fire Department,Public Protection,83024.04,258653.67,37488.16,296141.83
"Lieutenant, Fire Suppression",Fire Department,Public Protection,37528.72,226306.43,40004.66,266311.09
Firefighter,Fire Department,Public Protection,35221.56,178448.3,31148.12,209596.42
Firefighter,Fire Department,Public Protection,13153.69,134024.56,25084.95,159109.51
Firefighter,Fire Department,Public Protection,41270.1,184085.49,30884.04,214969.53
Firefighter,Fire Department,Public Protection,46049.44,136047.3,30599.35,166646.65
Firefighter,Fire Department,Public Protection,34577.93,130518.83,20944.29,151463.12
EMT Paramedic,Fire Department,Public Protection,0.0,2234.25,170.53,2404.78
Marine Engineer of Fire Boats,Fire Department,Public Protection,0.0,6478.52,1374.05,7852.57
Social Work Specialist,Human Services,Human Welfare & Neighborhood Development,0.0,106716.14,29981.6,136697.74
Social Work Specialist,Human Services,Human Welfare & Neighborhood Development,105.9,109127.68,30648.63,139776.31
Firefighter,Fire Department,Public Protection,1434.97,86249.93,17769.71,104019.64
Firefighter,Fire Department,Public Protection,41284.98,142396.6,22187.02,164583.62
Firefighter,Fire Department,Public Protection,18788.65,93610.96,18344.92,111955.88
EMT/Paramedic/Firefighter,Fire Department,Public Protection,0.0,391.9,106.93,498.83
Manager II,Homeless Services,Human Welfare & Neighborhood Development,0.0,128216.26,50411.89,178628.15
Dep Dir III,Homeless Services,Human Welfare & Neighborhood Development,0.0,202690.82,49799.32,252490.14
Public Information Officer,Homeless Services,Human Welfare & Neighborhood Development,0.0,66692.8,6912.75,73605.55
Management Assistant,Homeless Services,Human Welfare & Neighborhood Development,0.0,68526.01,9706.08,78232.09
Labor and Employment Advisor,Human Resources,General Administration & Finance,0.0,16650.0,1264.57,17914.57
Junior Management Assistant,Human Resources,General Administration & Finance,0.0,88488.24,25028.74,113516.98
Clerk,Human Resources,General Administration & Finance,0.0,57437.4,18203.39,75640.79
Principal Clerk,Human Services,Human Welfare & Neighborhood Development,0.0,92554.68,26142.43,118697.11
HSA Sr Eligibility Worker,Human Services,Human Welfare & Neighborhood Development,981.62,97633.2,27467.95,125101.15
Protective Services Worker,Human Services,Human Welfare & Neighborhood Development,15648.39,143653.83,36289.7,179943.53
Protective Services Worker,Human Services,Human Welfare & Neighborhood Development,0.0,99837.62,28037.28,127874.9
HSA Social Worker,Human Services,Human Welfare & Neighborhood Development,0.0,103142.09,29168.88,132310.97
Protective Services Supervisor,Human Services,Human Welfare & Neighborhood Development,15358.32,164310.5,39581.39,203891.89
Human Services Technician,Human Services,Human Welfare & Neighborhood Development,0.0,83156.25,23590.82,106747.07
Manager II,Human Services,Human Welfare & Neighborhood Development,0.0,158426.92,53557.18,211984.1
Junior Administrative Analyst,Fire Department,Public Protection,1613.79,73121.29,20352.45,93473.74
EMT Paramedic,Fire Department,Public Protection,0.0,269.43,20.46,289.89
EMT/Paramedic/Firefighter,Fire Department,Public Protection,5403.6,105778.89,21292.95,127071.84
Firefighter,Fire Department,Public Protection,18175.94,94319.52,18287.27,112606.79
EMT/Paramedic/Firefighter,Fire Department,Public Protection,2030.75,18753.04,4195.68,22948.72
EMT/Paramedic/Firefighter,Fire Department,Public Protection,1589.94,17877.82,4174.82,22052.64
Public Service Trainee,Fire Department,Public Protection,113.24,6497.96,511.63,7009.59
Senior Administrative Analyst,Homeless Services,Human Welfare & Neighborhood Development,0.0,99870.14,28015.92,127886.06
Dep Dir II,Homeless Services,Human Welfare & Neighborhood Development,0.0,88107.0,29373.3,117480.3
Worker's Compensation Adjuster,Human Resources,General Administration & Finance,0.0,109740.41,30888.94,140629.35
Testing Technician,Human Resources,General Administration & Finance,194.98,24982.28,8028.83,33011.11
Junior Management Assistant,Human Resources,General Administration & Finance,0.0,88488.22,25014.54,113502.76
Testing Technician,Human Resources,General Administration & Finance,0.0,369.24,28.04,397.28
Worker's Compensation Adjuster,Human Resources,General Administration & Finance,0.0,109116.4,30427.6,139544.0
Analyst Trainee,Human Resources,General Administration & Finance,0.0,50913.45,15987.73,66901.18
Analyst Trainee,Human Resources,General Administration & Finance,0.0,50958.0,8526.05,59484.05
HSA Sr Eligibility Worker,Human Services,Human Welfare & Neighborhood Development,627.39,95872.24,26745.58,122617.82
Child Care Specialist,Human Services,Human Welfare & Neighborhood Development,0.0,606.56,46.41,652.97
Principal Account Clerk,Human Services,Human Welfare & Neighborhood Development,0.0,95296.21,26941.75,122237.96
Account Clerk,Human Services,Human Welfare & Neighborhood Development,82.36,74630.16,20935.41,95565.57
EMT Paramedic,Fire Department,Public Protection,57.41,3498.44,269.54,3767.98
EMT/Paramedic/Firefighter,Fire Department,Public Protection,11582.68,100994.18,19317.39,120311.57
EMT/Paramedic/Firefighter,Fire Department,Public Protection,9054.4,107404.99,20794.6,128199.59
Firefighter,Fire Department,Public Protection,35251.0,114463.47,17300.17,131763.64
EMT/Paramedic/Firefighter,Fire Department,Public Protection,5835.97,50788.57,10132.5,60921.07
Engineer/Architect Principal,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,255179.58,64280.13,319459.71
Cement Mason,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,97369.54,27514.03,124883.57
Administrative Analyst,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,103108.09,28799.42,131907.51
Engineering Associate 1,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,103680.59,29223.01,132903.6
Management Assistant,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,100425.24,28624.78,129050.02
Assistant Engineer,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,127821.9,35735.42,163557.32
General Laborer,Department Of Public Works,"Public Works, Transportation & Commerce",1712.89,14839.28,3753.03,18592.31
Junior Engineer,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,8332.04,2314.22,10646.26
Arborist Technician,Department Of Public Works,"Public Works, Transportation & Commerce",4850.14,110721.24,29444.15,140165.39
