Votes,Rating,Title,Year,Decade
2634182,9.2,The Shawshank Redemption,1994,1990
1825638,9.2,The Godfather,1972,1970
2605413,9.0,The Dark Knight,2008,2010
1252229,9.0,The Godfather Part II,1974,1970
777869,8.9,12 Angry Men,1957,1960
1336332,8.9,Schindler's List,1993,1990
1807089,8.9,The Lord of the Rings: The Return of the King,2003,2000
2016215,8.8,Pulp Fiction,1994,1990
1829167,8.8,The Lord of the Rings: The Fellowship of the Ring,2001,2000
752811,8.8,"The Good, the Bad and the Ugly",1966,1970
2039018,8.8,Forrest Gump,1994,1990
2077997,8.7,Fight Club,1999,2000
2310133,8.7,Inception,2010,2010
1631901,8.7,The Lord of the Rings: The Two Towers,2002,2000
1273809,8.7,Star Wars: Episode V - The Empire Strikes Back,1980,1980
1885557,8.7,The Matrix,1999,2000
1141401,8.7,Goodfellas,1990,1990
996086,8.6,One Flew Over the Cuckoo's Nest,1975,1980
1619791,8.6,Se7en,1995,2000
343126,8.6,Seven Samurai,1954,1950
450698,8.6,It's a Wonderful Life,1946,1950
1408055,8.6,The Silence of the Lambs,1991,1990
749428,8.6,City of God,2002,2000
1369684,8.6,Saving Private Ryan,1998,2000
685983,8.6,Life Is Beautiful,1997,2000
1279330,8.6,The Green Mile,1999,2000
1776334,8.6,Interstellar,2014,2010
1346467,8.6,Star Wars,1977,1980
1084109,8.5,Terminator 2: Judgment Day,1991,1990
1182893,8.5,Back to the Future,1985,1980
748263,8.5,Spirited Away,2001,2000
663058,8.5,Psycho,1960,1960
818704,8.5,The Pianist,2002,2000
1144041,8.5,Léon: The Professional,1994,1990
771973,8.5,Parasite,2019,2020
1042214,8.5,The Lion King,1994,1990
1476920,8.5,Gladiator,2000,2000
1109719,8.5,American History X,1998,2000
1306594,8.5,The Departed,2006,2010
1073083,8.5,The Usual Suspects,1995,2000
1313472,8.5,The Prestige,2006,2010
566247,8.5,Casablanca,1942,1940
834819,8.5,Whiplash,2014,2010
844831,8.5,The Intouchables,2011,2010
272885,8.5,Grave of the Fireflies,1988,1990
55927,8.5,Harakiri,1962,1960
240484,8.4,Modern Times,1936,1940
327004,8.4,Once Upon a Time in the West,1968,1970
486769,8.4,Rear Window,1954,1950
868822,8.4,Alien,1979,1980
183656,8.4,City Lights,1931,1930
258435,8.4,Cinema Paradiso,1988,1990
660221,8.4,Apocalypse Now,1979,1980
1223027,8.4,Memento,2000,2000
955516,8.4,Indiana Jones and the Raiders of the Lost Ark,1981,1980
1524149,8.4,Django Unchained,2012,2010
1101146,8.4,WALL·E,2008,2010
387021,8.4,The Lives of Others,2006,2010
220479,8.4,Sunset Blvd.,1950,1950
326673,8.4,Top Gun: Maverick,2022,2020
196039,8.4,Paths of Glory,1957,1960
1003043,8.4,The Shining,1980,1980
222610,8.4,The Great Dictator,1940,1940
124395,8.4,Witness for the Prosecution,1957,1960
1050565,8.4,Avengers: Infinity War,2018,2020
709453,8.3,Aliens,1986,1990
1143040,8.3,American Beauty,1999,2000
486547,8.3,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1960
511491,8.3,Spider-Man: Into the Spider-Verse,2018,2020
1679571,8.3,The Dark Knight Rises,2012,2010
571026,8.3,Oldboy,2003,2000
1235295,8.3,Joker,2019,2020
398076,8.3,Amadeus,1984,1980
