name,networth,citizenship,industry
Elon Musk,219000.0,United States,Automotive
Jeff Bezos,171000.0,United States,Technology
Bernard Arnault & family,158000.0,France,Fashion & Retail
Bill Gates,129000.0,United States,Technology
Warren Buffett,118000.0,United States,Finance & Investments
Larry Page,111000.0,United States,Technology
Sergey Brin,107000.0,United States,Technology
Larry Ellison,106000.0,United States,Technology
Steve Ballmer,91400.0,United States,Technology
Mukesh Ambani,90700.0,India,Diversified
Gautam Adani & family,90000.0,India,Diversified
Michael Bloomberg,82000.0,United States,Media & Entertainment
Carlos Slim Helu & family,81200.0,Mexico,Telecom
Francoise Bettencourt Meyers & family,74800.0,France,Fashion & Retail
Mark Zuckerberg,67300.0,United States,Technology
Jim Walton,66200.0,United States,Fashion & Retail
Zhong Shanshan,65700.0,China,Food & Beverage
Alice Walton,65300.0,United States,Fashion & Retail
Rob Walton,65000.0,United States,Fashion & Retail
Changpeng Zhao,65000.0,Canada,Finance & Investments
Charles Koch,60000.0,United States,Diversified
Julia Koch & family,60000.0,United States,Diversified
Amancio Ortega,59600.0,Spain,Fashion & Retail
Michael Dell,55100.0,United States,Technology
Zhang Yiming,50000.0,China,Media & Entertainment
David Thomson & family,49200.0,Canada,Media & Entertainment
Phil Knight & family,47300.0,United States,Fashion & Retail
Dieter Schwarz,47100.0,Germany,Fashion & Retail
Robin Zeng,44800.0,Hong Kong,Automotive
MacKenzie Scott,43600.0,United States,Technology
Rodolphe Saadé & family,41400.0,France,Logistics
François Pinault & family,40400.0,France,Fashion & Retail
Klaus-Michael Kuehne,37300.0,Germany,Logistics
Ma Huateng,37200.0,China,Technology
Beate Heister & Karl Albrecht Jr. & family,36800.0,Germany,Fashion & Retail
Giovanni Ferrero,36200.0,Italy,Food & Beverage
Li Ka-shing,34800.0,Hong Kong,Diversified
Stephen Schwarzman,34800.0,United States,Finance & Investments
Lee Shau Kee,32600.0,Hong Kong,Real Estate
Len Blavatnik,32500.0,United States,Diversified
Jacqueline Mars,31700.0,United States,Food & Beverage
John Mars,31700.0,United States,Food & Beverage
Alain Wertheimer,31200.0,France,Fashion & Retail
Gerard Wertheimer,31200.0,France,Fashion & Retail
German Larrea Mota Velasco & family,30800.0,Mexico,Metals & Mining
Gina Rinehart,30200.0,Australia,Metals & Mining
Shiv Nadar,28700.0,India,Technology
Jim Simons,28600.0,United States,Finance & Investments
He Xiangjian,28300.0,China,Manufacturing
Miriam Adelson,27500.0,United States,Gambling & Casinos
Dietrich Mateschitz,27400.0,Austria,Food & Beverage
Leonardo Del Vecchio & family,27300.0,Italy,Fashion & Retail
Ken Griffin,27200.0,United States,Finance & Investments
Tadashi Yanai & family,26100.0,Japan,Fashion & Retail
William Lei Ding,25200.0,China,Technology
Susanne Klatten,24300.0,Germany,Automotive
Cyrus Poonawalla,24300.0,India,Healthcare
Wang Wei,24300.0,China,Service
Qin Yinglin,24100.0,China,Food & Beverage
Sam Bankman-Fried,24000.0,United States,Finance & Investments
Takemitsu Takizaki,23900.0,Japan,Manufacturing
Li Shufu,23700.0,China,Automotive
Emmanuel Besnier,23500.0,France,Food & Beverage
R. Budi Hartono,23200.0,Indonesia,Finance & Investments
Leonard Lauder,23100.0,United States,Fashion & Retail
Guillaume Pousaz,23000.0,Switzerland,Finance & Investments
Iris Fontbona & family,22800.0,Chile,Metals & Mining
Jack Ma,22800.0,China,Technology
Michael Hartono,22300.0,Indonesia,Manufacturing
Eric Schmidt,22100.0,United States,Technology
Ray Dalio,22000.0,United States,Finance & Investments
Daniel Gilbert,22000.0,United States,Finance & Investments
"Thomas Frist, Jr. & family",21800.0,United States,Healthcare
Masayoshi Son,21300.0,Japan,Telecom
Abigail Johnson,21200.0,United States,Finance & Investments
Rupert Murdoch & family,20800.0,United States,Media & Entertainment
Stefan Quandt,20700.0,Germany,Automotive
Jensen Huang,20600.0,United States,Technology
Huang Shilin,20300.0,China,Automotive
Thomas Peterffy,20100.0,United States,Finance & Investments
Radhakishan Damani,20000.0,India,Fashion & Retail
Pang Kang,19600.0,China,Food & Beverage
Wang Chuanfu,19500.0,China,Automotive
Reinhold Wuerth & family,19000.0,Germany,Manufacturing
"Theo Albrecht, Jr. & family",18700.0,Germany,Fashion & Retail
Yang Huiyan & family,18700.0,China,Real Estate
Vladimir Lisin,18400.0,Russia,Metals & Mining
Fan Hongwei & family,18200.0,China,Energy
Lakshmi Mittal,17900.0,India,Metals & Mining
Andrew Forrest,17800.0,Australia,Metals & Mining
Jiang Rensheng & family,17700.0,China,Healthcare
Savitri Jindal & family,17700.0,India,Metals & Mining
Wang Wenyin,17700.0,China,Metals & Mining
Li Xiting,17600.0,Singapore,Healthcare
Stefan Persson,17600.0,Sweden,Fashion & Retail
