Building,City,Floors,Height,Year
Burj Khalifa,Dubai,163,2717,2010
Merdeka 118,Kuala Lumpur,118,2227,2022
Shanghai Tower,Shanghai,128,2074,2015
Makkah Clock Royal Tower,Makkah,120,1972,2012
Ping An International Finance Center,Shenzhen,115,1965,2017
Lotte World Tower,Seoul,123,1819,2017
One World Trade Center,New York City,104,1776,2014
CTF Finance Centre,Guangzhou,111,1739,2016
Tianjin CTF Finance Centre,Tianjin,97,1739,2019
CITIC Tower,Beijing,108,1732,2018
Taipei 101,Taipei,101,1671,2004
Shanghai World Financial Center,Shanghai,101,1614,2008
International Commerce Centre,Hong Kong,108,1588,2010
Wuhan Greenland Center,Wuhan,97,1562,2022
Central Park Tower,New York City,98,1550,2020
Vanke Center,Chongqing,99,1535,2022
Lakhta Center,St. Petersburg,87,1516,2019
Vincom Landmark 81,Ho Chi Minh City,81,1513,2018
The Wharf IFS Tower 1,Changsha,94,1483,2018
Petronas Tower 1,Kuala Lumpur,88,1483,1998
Petronas Tower 2,Kuala Lumpur,88,1483,1998
Suzhou IFS,Suzhou,95,1476,2019
Zifeng Tower,Nanjing,66,1476,2010
The Exchange 106,Kuala Lumpur,95,1462,2019
Willis Tower,Chicago,108,1451,1974
KK100,Shenzhen,100,1449,2011
Wuhan Center Tower,Wuhan,88,1437,2019
Guangzhou International Finance Center,Guangzhou,103,1435,2010
111 West 57th Street,New York City,84,1428,2021
One Vanderbilt,New York City,59,1401,2020
Dongguan International Trade Center A,Dongguan,88,1401,2021
432 Park Avenue,New York City,85,1397,2015
Marina 101 Tower,Dubai,101,1394,2018
Trump International Hotel & Tower,Chicago,98,1388,2009
Jin Mao Tower,Shanghai,88,1380,1999
Two International Finance Centre,Hong Kong,88,1362,2003
Princess Tower,Dubai,101,1356,2012
Al Hamra Tower,Kuwait City,80,1354,2011
LCT Landmark Tower,Busan,101,1350,2019
Nanning Resources Center Tower,Nanning,87,1321,2020
Guiyang International Financial Center T1,Guiyang,79,1316,2020
China Resources Headquarters Main Tower,Shenzhen,68,1288,2018
23 Marina,Dubai,88,1287,2012
CITIC Plaza,Guangzhou,80,1283,1997
Eton Place Dalian 1,Dalian,81,1274,2015
Shum Yip Upperhills Tower 1,Shenzhen,80,1273,2020
Citymark Center,Shenzhen,70,1273,2022
30 Hudson Yards,New York City,73,1270,2019
Iconic Tower,Cairo,80,1263,2023
PIF Tower,Riyadh,72,1263,2021
Shun Hing Square,Shenzhen,69,1260,1996
Autograph Tower,Jakarta,75,1257,2022
Burj Mohammed Bin Rashid,Abu Dhabi,92,1253,2014
Logan Century Center,Nanning,82,1251,2018
Empire State Building,New York City,102,1250,1931
Elite Residence,Dubai,87,1248,2012
Riverview Plaza Tower A1,Wuhan,73,1234,2021
Dabaihui Plaza,Shenzhen,70,1232,2021
Central Plaza,Hong Kong,78,1227,1992
Vostok,Moscow,95,1226,2016
Dalian International Trade Center,Dalian,86,1214,2019
Hai Tian Center Tower 1,Qingdao,73,1210,2021
Golden Eagle Tiandi Tower A,Nanjing,76,1207,2020
The Address The BLVD,Dubai,72,1207,2017
Bank of China Tower,Hong Kong,70,1205,1990
Bank of America Tower,New York City,54,1200,2009
Galaxy Project Tower 1,Shenzhen,84,1198,2022
Almas Tower,Dubai,68,1191,2009
St. Regis Chicago,Chicago,95,1191,2020
Ping An Finance Center Tower 1,Jinan,62,1181,2022
The Pinnacle,Guangzhou,60,1181,2012
Huiyun Center,Shenzhen,80,1178,2022
Hanking Center,Shenzhen,65,1177,2018
Greenland Group Suzhou Center,Wujiang,77,1175,2021
Gevora Hotel,Dubai,75,1169,2017
Il Primo,Dubai,88,1168,2022
JW Marriott Marquis Dubai 2,Dubai,77,1165,2014
