Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt1630029,2022-12-20,2023-01-31,"Opening Weekend: $134,100,226
Domestic: $620,849,303
International: $1,496,236,834

TOTAL: $2,117,086,137",Avatar: The Way of Water,https://www.imdb.com/title/tt1630029/,movie,7.8,192,2022,"Action, Adventure, Fantasy, Sci-Fi",273900,2022-12-06,James Cameron
2,tt1745960,2022-06-01,2022-12-20,"Opening Weekend: $126,707,459
Domestic: $718,732,821
International: $770,000,000

TOTAL: $1,486,657,763",Top Gun: Maverick,https://www.imdb.com/title/tt1745960/,movie,8.3,130,2022,"Action, Drama",512593,2022-05-18,Joseph Kosinski
3,tt8041270,2022-06-13,2023-01-04,"Opening Weekend: $145,075,625
Domestic: $376,851,080
International: $625,127,000

TOTAL: $1,001,978,080",Jurassic World: Dominion,https://www.imdb.com/title/tt8041270/,movie,5.6,147,2022,"Action, Adventure, Sci-Fi, Thriller",168082,2022-05-23,Colin Trevorrow
4,tt9419884,2022-05-08,2022-09-08,"Opening Weekend: $187,420,998
Domestic: $411,331,607
International: $544,444,197

TOTAL: $955,775,804",Doctor Strange in the Multiverse of Madness,https://www.imdb.com/title/tt9419884/,movie,6.9,126,2022,"Action, Adventure, Fantasy, Horror, Sci-Fi",422629,2022-05-02,Sam Raimi
5,tt5113044,2022-07-04,2022-12-20,"Opening Weekend: $107,000,000
Domestic: $369,500,210
International: $569,933,000

TOTAL: $939,433,210",Minions: The Rise of Gru,https://www.imdb.com/title/tt5113044/,movie,6.6,87,2022,"Animation, Adventure, Comedy, Crime, Family, Sci-Fi",67140,2022-06-13,"Brad Ableson, Kyle Balda, Jonathan del Val"
6,tt9114286,2022-11-15,2023-01-31,"Opening Weekend: $181,339,761
Domestic: $453,031,468
International: $388,911,466

TOTAL: $841,942,934",Black Panther: Wakanda Forever,https://www.imdb.com/title/tt9114286/,movie,7.1,161,2022,"Action, Adventure, Drama, Fantasy, Sci-Fi, Thriller",148379,2022-11-09,Ryan Coogler
7,tt1877830,2022-04-08,2022-08-01,"Opening Weekend: $134,008,624
Domestic: $369,345,583
International: $401,490,580

TOTAL: $770,836,163",The Batman,https://www.imdb.com/title/tt1877830/,movie,7.8,176,2022,"Action, Crime, Drama, Thriller",665471,2022-03-01,Matt Reeves
8,tt10648342,2022-07-12,2022-10-11,"Opening Weekend: $144,165,107
Domestic: $343,249,558
International: $417,422,576

TOTAL: $760,672,134",Thor: Love and Thunder,https://www.imdb.com/title/tt10648342/,movie,6.3,118,2022,"Action, Adventure, Comedy, Fantasy, Romance, Sci-Fi",340295,2022-06-23,Taika Waititi
9,tt16194408,2022-04-08,2022-06-13,"Domestic: $117,294
International: $626,453,986

TOTAL: $626,571,280 (Chinese movie) ",Chang jin hu zhi shui men qiao,https://www.imdb.com/title/tt16194408/,movie,5.4,153,2022,"Action, Drama, History",1003,2022-02-01,"Hark Tsui, Ju-chun Park, Dante Lam, Jianxin Huang, Kaige Chen"
10,tt14557302,2022-12-20,2022-12-20,"Opening Weekend:
Domestic:
International: $460,237,662

TOTAL: $460,237,662 (Chinese movie)",Du xing yue qiu,https://www.imdb.com/title/tt14557302/,movie,6.5,122,2022,"Comedy, Sci-Fi",992,2022-07-29,Chiyu Zhang
11,tt4123432,2022-04-17,2023-01-18,"Opening Weekend: $43,000,000
Domestic: $95,850,844
International: $311,100,000

TOTAL: $406,950,844",Fantastic Beasts: The Secrets of Dumbledore,https://www.imdb.com/title/tt4123432/,movie,6.2,142,2022,"Adventure, Family, Fantasy",145015,2022-04-06,David Yates
12,tt12412888,2022-04-10,2022-08-01,"Opening Weekend: $72,100,000
Domestic: $190,872,904
International: $211,000,000

TOTAL: $401,872,904",Sonic the Hedgehog 2,https://www.imdb.com/title/tt12412888/,movie,6.5,122,2022,"Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",69537,2022-03-27,Jeff Fowler
13,tt1464335,2022-04-08,2022-08-01,"Opening Weekend: $44,010,155
Domestic: $148,648,820
International: $253,100,000

TOTAL: $401,748,820",Uncharted,https://www.imdb.com/title/tt1464335/,movie,6.3,116,2022,"Action, Adventure",216155,2022-02-08,Ruben Fleischer
14,tt6443346,2022-10-31,2023-01-10,"Opening Weekend: $67,004,323
Domestic: $168,144,793
International: $224,800,000

TOTAL: $392,944,793",Black Adam,https://www.imdb.com/title/tt6443346/,movie,6.4,125,2022,"Action, Adventure, Fantasy, Sci-Fi",216671,2022-10-19,Jaume Collet-Serra
15,tt3915174,2022-12-28,2023-01-31,"Opening Weekend: $12,429,515
4-Day Opening: $18,532,370
Domestic: $140,713,795
International: $195,012,000

TOTAL: $335,725,795",Puss in Boots: The Last Wish,https://www.imdb.com/title/tt3915174/,movie,7.9,102,2022,"Animation, Adventure, Comedy, Family, Fantasy, Mystery, Romance",57680,2022-12-07,"Januel Mercado, Joel Crawford"
16,tt3704428,2022-06-27,2023-01-18,"Opening Weekend: $31,211,579
Domestic: $151,032,908
International: $136,300,000

TOTAL: $287,340,048",Elvis,https://www.imdb.com/title/tt3704428/,movie,7.4,159,2022,"Biography, Drama, Music",172071,2022-05-25,Baz Luhrmann
17,tt8115900,2022-04-24,2022-11-15,"Opening Weekend: $24,000,000
Domestic: $97,225,795
International: $152,928,648

TOTAL: $250,154,443",The Bad Guys,https://www.imdb.com/title/tt8115900/,movie,6.8,100,2022,"Animation, Adventure, Comedy, Crime, Family",43637,2022-03-16,Pierre Perifel
18,tt12593682,2022-08-09,2022-10-31,"Opening Weekend: $30,030,156
Domestic: $103,360,044
International: $135,900,000

TOTAL: $239,260,044",Bullet Train,https://www.imdb.com/title/tt12593682/,movie,7.3,127,2022,"Action, Comedy, Thriller",279566,2022-07-18,David Leitch
19,tt10298810,2022-06-21,2022-10-11,"Opening Weekend: $50,577,961
Domestic: $118,307,188
International: $108,118,232

TOTAL: $226,425,420",Lightyear,https://www.imdb.com/title/tt10298810/,movie,6.1,105,2022,"Animation, Action, Adventure, Drama, Family, Sci-Fi",107955,2022-06-15,Angus MacLane
20,tt16254308,2022-04-08,2022-06-13,"Domestic: $185,882
International: $217,068,722

TOTAL: $217,254,604 (Chinese movie) ",Zhe ge sha shou bu tai leng jing,https://www.imdb.com/title/tt16254308/,movie,6.1,109,2022,Comedy,592,2022-02-01,"Ru Qian, Wenxiong Xing"
21,tt15474916,2022-10-11,2022-12-20,"Opening Weekend: $22,609,925
Domestic: $105,935,048
International: $110,200,000

TOTAL: $216,135,048",Smile,https://www.imdb.com/title/tt15474916/,movie,6.6,115,2022,"Horror, Mystery, Thriller",99570,2022-09-22,Parker Finn
22,tt15783462,2022-04-08,2022-08-16,"International: $211,019,042

TOTAL: $211,019,042 (Chinese movie) ",Qi ji · Ben xiao hai,https://www.imdb.com/title/tt15783462/,movie,6.6,106,2022,"Comedy, Drama",885,2022-02-01,Muye Wen
23,tt8912936,2022-08-01,2023-01-18,"Opening Weekend: $23,003,441
Domestic: $93,657,117
International: $113,700,000

TOTAL: $207,357,117",DC League of Super-Pets,https://www.imdb.com/title/tt8912936/,movie,7.2,105,2022,"Animation, Action, Adventure, Comedy, Crime, Family, Fantasy, Sci-Fi",65432,2022-07-27,"Jared Stern, Sam J. Levine"
