Section,Learning Objective,Pull Ups,DA Certificate,Born in US,Reaction Time,Work Hours per Week,Zipcode,Programming Experience,Top 3 Movie Genres,Personality,Top 2 Work Times,Data Science Work Goal,Top 2 Tutoring Days,Top 2 Tutoring Hours,Tutoring Environment,Sequence Length Memory,What approximate percentage of your life have you lived in San Francisco,COVID ,Statistics Experience,Tatoos,Vision Support,Full Time Student,Course Preperation Feeling,Bachelor Degree,Registered to Vote,First Semester in College,Degree,Music Streaming,Recommend MATH 108,Age,DS Degree,Height
70949,5,2,2,,300,15,94112,8,"Comedies, Romantic, Sci-fi & Fantasy",2,"6 pm - 10 pm, 10 pm - 2 am",2,"Tuesday, Thursday","6 am - 10 am, 6 pm - 10 pm",In person,10,2,0,1,0,1,0,8,0,Yes,0,Computer Science,Spotify,1,45,2,73
70949,3,0,1,1,272,12,99999,1,"Anime, Comedies, Dramas",1,"10 am - 2 pm, 6 pm - 10 pm",1,"Monday, Friday","10 am - 2 pm, 2 pm - 6 pm",In person,9,5,0,1,0,1,0,1,1,Yes,0,Continuing Education,Spotify,1,27,0,67
70949,3,1,0,0,257,2,99999,1,"Action & Adventure, Anime, Romantic",1,"10 am - 2 pm, 6 pm - 10 pm",0,"Tuesday, Thursday","10 am - 2 pm, 2 pm - 6 pm",Virtually,14,5,999,4,0,1,1,4,0,Yes,0,Psychology GRAD,YouTube Music,1,20,0,63
70950,4,1,2,1,308,0,94115,2,"Documentaries, Dramas, Thrillers",2,6 pm - 10 pm,2,"Monday, Tuesday",2 pm - 6 pm,In person,9,2,0,4,0,1,1,3,1,Yes,0,Continuing Education,Amazon Music,1,48,0,63
70950,3,1,0,1,374,40,94103,2,"Comedies, Documentaries, Sci-fi & Fantasy",2,10 am - 2 pm,2,"Friday, Sunday",6 pm - 10 pm,Virtually,13,1,1,8,0,1,0,5,1,Yes,0,Continuing Education,Spotify,1,28,0,63
70949,4,2,0,1,290,40,94107,6,"Horror, Sci-fi & Fantasy, Thrillers",2,"6 am - 10 am, 6 pm - 10 pm",1,"Tuesday, Thursday",I don't want tutoring support.,I don't want tutoring support,9,2,3,6,0,0,1,10,1,Yes,0,Continuing Education,Spotify,1,35,0,71
70950,4,3,2,1,263,48,94110,1,"Action & Adventure, Documentaries, Sci-fi & Fantasy",2,6 pm - 10 pm,2,"Monday, Friday","2 pm - 6 pm, 6 pm - 10 pm",Virtually,7,1,1,4,0,1,0,3,1,No,1,Computer Science,Spotify,1,30,2,62
70949,4,2,2,0,250,45,94107,6,"Action & Adventure, Sci-fi & Fantasy, Thrillers",2,"2 pm - 6 pm, 6 pm - 10 pm",1,"Monday, Wednesday",I don't want tutoring support.,I don't want tutoring support,11,1,0,5,0,1,1,7,1,Unknown,0,Computer Science,YouTube Music,1,999,2,63
70950,3,6,0,1,319,40,94536,5,"Dramas, Sci-fi & Fantasy, Thrillers",0,"6 am - 10 am, 10 pm - 2 am",2,"Thursday, Saturday",2 pm - 6 pm,Virtually,10,2,1,1,0,1,0,2,0,Yes,0,Computer Networking and Information Technology,Spotify,0,40,0,69
70950,3,25,1,0,225,60,94129,3,"Action & Adventure, Documentaries, Sci-fi & Fantasy",1,10 pm - 2 am,1,"Monday, Tuesday",2 pm - 6 pm,Virtually,9,1,0,7,1,1,0,7,0,Ineligible,0,Business,Apple Music,1,999,1,67
